source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,Unnamed: 12,Unnamed: 13,db_double_checked,Unnamed: 15,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
55,S400-056,SCOPUS_ID:0028972474,10.1093/oxfordjournals.aje.a117495,"Family history and prostate cancer risk in black, white, and Asian men in the United States and Canada",American Journal Of Epidemiology,"['Androgens;', 'Asian-Americans;', 'Blacks;', 'Ethnic groups;', 'Family;', 'Prostatic neoplasms;', 'Whites.']",False,,False,,,,,,,True,0.02,False,no,0.0,1.0,1719,50,7.2198e-05,318.72958299936727,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-N8EKQ2BcSP7SJcRw1ngd,,1d16b25dcca8,2026-09-19T18:39:49+00:00
56,S400-057,SCOPUS_ID:85024399831,10.1093/aje/kwx059,Are Lowered Socioeconomic Circumstances Causally Related to Tooth Loss? A Natural Experiment Involving the 2011 Great East Japan Earthquake,American Journal Of Epidemiology,"['change in economic status', 'instrumental variable analyses', 'natural disaster', 'natural experiment', 'oral health', 'tooth loss']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1647,50,6.9174e-05,313.57483300962485,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-HiuNTzc0bSbCNPrP7BfA,,1d16b25dcca8,2026-09-19T18:39:49+00:00
57,S400-058,SCOPUS_ID:85099499256,10.1016/j.ypmed.2020.106355,Racial disparities in occupational risks and lung cancer incidence: Analysis of the National Lung Screening Trial,Preventive Medicine,[],True,,True,,,,,,,True,0.98,True,yes,1.0,1.0,1741,50,7.3122e-05,303.887540998403,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-xFJGUW19YeU4yYp3Gh4c,,1d16b25dcca8,2026-09-19T18:39:49+00:00
58,S400-059,SCOPUS_ID:84878536226,10.1093/aje/kws373,The healthy worker effect in cancer incidence studies,American Journal Of Epidemiology,"['cancer incidence', 'cohort studies', 'educational level', 'healthy worker effect', 'mortality']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1781,50,7.4802e-05,321.3727910188027,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-rhPfYGsLFhIEiobOPKK5,,1d16b25dcca8,2026-09-19T18:39:49+00:00
59,S400-060,SCOPUS_ID:34047194090,10.1093/eurpub/ckl103,The four ages of Down syndrome,European Journal Of Public Health,"['Comorbidity', 'Data linkage', 'Down syndrome', 'Life expectancy', 'Life stages', 'Mortality']",True,,True,,,,,,,True,0.94,True,yes,1.0,1.0,1764,50,7.4088e-05,296.23862498556264,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-Amp8oVSPuxaa6DekBNir,,1d16b25dcca8,2026-09-19T18:39:49+00:00
60,S400-061,SCOPUS_ID:85214397946,10.1136/jech-2024-223072,Trends in physical fitness among Lithuanian adolescents aged 11-17 years between 1992 and 2022,Journal Of Epidemiology And Community Health,"['ADOLESCENT', 'EXERCISE', 'HEALTH PROMOTION', 'HEALTH STATUS', 'POLICY']",True,,True,,,,,,,True,0.98,True,yes,1.0,1.0,1751,50,7.3542e-05,305.6317919981666,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-ZRPwZ6MzQt0XQz63ZJE0,,1d16b25dcca8,2026-09-19T18:39:49+00:00
61,S400-062,SCOPUS_ID:85159570565,10.1016/j.ypmed.2023.107544,"Family structure and living arrangements as indicators of social isolation, and prostate cancer risk",Preventive Medicine,"['Case-control study', 'Family structure', 'Living arrangements', 'Marital status', 'Prostate cancer', 'Social isolation']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1697,50,7.1274e-05,1074.473125016084,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-t8QeZgToc4UMg5MKujBo,,1d16b25dcca8,2026-09-19T18:39:49+00:00
62,S400-063,SCOPUS_ID:85038918024,10.1016/j.ypmed.2017.11.023,"Cervical cancer screening uptake among HIV-positive women in Ontario, Canada: A population-based retrospective cohort study",Preventive Medicine,"['Cervical cancer screening', 'HIV', 'HPV', 'Mass screening', 'Women']",True,,True,,,,,,,True,0.92,True,yes,0.99,0.99,1740,50,7.308e-05,254.95370899443515,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-ewWZqb2OzghEkCKpHD80,,1d16b25dcca8,2026-09-19T18:39:49+00:00
63,S400-064,SCOPUS_ID:27744533536,10.1007/s10654-005-2148-7,Collecting saliva by mail for genetic and cotinine analyses in participants recruited through the internet,European Journal Of Epidemiology,"['Cotinine', 'Epidemiology', 'Internet', 'Nicotine Dependence', 'Nicotinic Receptors', 'Smoking']",False,,False,,,,,,,True,0.07,False,no,0.01,0.98,1669,50,7.0098e-05,245.62274999334477,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-JgIqVmdaNyWzj3SbBN6B,,1d16b25dcca8,2026-09-19T18:39:49+00:00
64,S400-065,SCOPUS_ID:0026696145,10.1093/oxfordjournals.aje.a116348,Intensive surveillance for infections in a three-year study of nursing home patients,American Journal Of Epidemiology,"['Aged', 'Cross infection', 'Diagnosis', 'Disease outbreaks', 'Nursing homes']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1708,50,7.1736e-05,352.3583750065882,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-saWtAh2z6z2eaIc0DY4u,,1d16b25dcca8,2026-09-19T18:39:49+00:00
65,S400-066,SCOPUS_ID:0031895713,10.1097/00001648-199803000-00008,The relation between income and mortality in U.S. blacks and whites,Epidemiology,"['Income', 'Kernel smoothing', 'Methods', 'Mortality', 'Poverty', 'Race', 'Socioeconomic factors']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1620,50,6.804e-05,602.9007500037551,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-QylUuKp42sQXTdwRZw84,,1d16b25dcca8,2026-09-19T18:39:49+00:00
66,S400-067,SCOPUS_ID:0026665612,10.1093/oxfordjournals.aje.a116216,Methods for inference on transmission in seroprevalence data for multiple infections,American Journal Of Epidemiology,"['Cross-sectional studies', 'Epidemiologic methods', 'Hepatitis B virus', 'Hepatitis C virus', 'Models', 'Prevalence', 'Serology', 'Statistical']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1652,50,6.9384e-05,336.20070799952373,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-qu7Inuh5J4u9NVAdYVgO,,1d16b25dcca8,2026-09-19T18:39:49+00:00
67,S400-068,SCOPUS_ID:3042686522,10.1093/eurpub/14.2.168,"Sport involvement, sport violence and health behaviours of Greek adolescents",European Journal Of Public Health,"['Age', 'Exercise', 'Greece', 'Health-risks', 'Sport violence']",True,,True,,,,,,,True,0.97,True,yes,1.0,1.0,1653,50,6.9426e-05,355.3720420168247,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-YLgnhJYOqbKCn35vN9AK,,1d16b25dcca8,2026-09-19T18:39:49+00:00
68,S400-069,SCOPUS_ID:85147834666,10.1136/jech-2022-219829,Exploring the associations of daily movement behaviours and mid-life cognition: A compositional analysis of the 1970 British Cohort Study,Journal Of Epidemiology And Community Health,"['AGING', 'COGNITION', 'DEMENTIA', 'EXERCISE', 'SLEEP']",True,,True,,,,,,,True,0.82,True,yes,0.95,0.91,1779,50,7.4718e-05,240.5512080003973,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-bU3Krr4q8GjQpU25c0pI,,1d16b25dcca8,2026-09-19T18:39:49+00:00
69,S400-070,SCOPUS_ID:9344236905,10.1093/eurpub/2.1.29,Evolution and distribution of childhood leukemia mortality in Greece: Etiological implications,European Journal Of Public Health,"['Childhood leukemia', 'Herd immunity', 'Place clustering']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1652,50,6.9384e-05,249.2118749942165,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-BCBMIE6dCZpBymkj8twe,,1d16b25dcca8,2026-09-19T18:39:49+00:00
70,S400-071,SCOPUS_ID:84983488780,10.1136/jech-2015-207138,"Short-term and long-term effects of GDP on traffic deaths in 18 OECD countries, 1960-2011",Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1728,50,7.2576e-05,273.25583301717415,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-GUvAnp23Sb6O94UkERFY,,1d16b25dcca8,2026-09-19T18:39:49+00:00
71,S400-072,SCOPUS_ID:0026551460,10.2105/AJPH.82.2.191,Attitudes about infertility interventions among fertile and infertile couples,American Journal Of Public Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1575,50,6.615e-05,240.2838339912705,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-Qv7FDOA8F9SNP8x3LUJ6,,1d16b25dcca8,2026-09-19T18:39:49+00:00
72,S400-073,SCOPUS_ID:0029998449,10.1097/00001648-199607000-00007,The effect of maternal drinking before conception and in early pregnancy on infant birthweight,Epidemiology,"['alcohol drinking', 'birthweight', 'cohort studies', 'maternal behavior', 'pregnancy']",False,,False,,,,,,,True,0.02,False,no,0.0,1.0,1516,50,6.3672e-05,285.0629170134198,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-vxuEeRIqbumeXi76P46u,,1d16b25dcca8,2026-09-19T18:39:49+00:00
73,S400-074,SCOPUS_ID:0027717196,10.1136/jech.47.6.450,"Marital status, indicators of sexual activity and prostatic cancer",Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1716,50,7.2072e-05,352.1042500215117,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-NXDV3lEmDM7G98oYEglt,,1d16b25dcca8,2026-09-19T18:39:49+00:00
74,S400-075,SCOPUS_ID:84907818355,10.2105/AJPH.2014.302131,Enhancing condom use among black male youths: A randomized controlled trial,American Journal Of Public Health,[],True,,True,,,,,,,True,0.45,False,no,0.45,0.09,1675,50,7.035e-05,233.49520898773335,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-Z9qzTctMnNnw4OQjFT7o,,1d16b25dcca8,2026-09-19T18:39:49+00:00
75,S400-076,SCOPUS_ID:0026354316,10.1093/ije/20.4.921,A method for estimating alcohol-related liver cirrhosis mortality in Japan,International Journal Of Epidemiology,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1621,50,6.8082e-05,874.60199999623,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-H7G3Q5zi6i29TgYtaEdq,,1d16b25dcca8,2026-09-19T18:39:50+00:00
76,S400-077,SCOPUS_ID:0029760312,10.1093/ije/25.4.829,Relationship between morbidity and extreme values of body mass index in adolescents,International Journal Of Epidemiology,"['Adolescents', 'BMI', 'Medical conditions', 'Overweight', 'Underweight']",True,,True,,,,,,,True,0.96,True,yes,1.0,1.0,1650,50,6.93e-05,255.0206669839099,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-UkvcTN30yjgGGR3fW8sj,,1d16b25dcca8,2026-09-19T18:39:49+00:00
77,S400-078,SCOPUS_ID:85026463152,10.1093/eurpub/ckw234,Adherence to cancer treatment guidelines: Influence of general and cancer-specific guideline characteristics,European Journal Of Public Health,[],True,,True,,,,,,,True,0.76,True,yes,0.91,0.83,1668,50,7.0056e-05,284.4915409805253,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-GmzNyMowzhBFJeN0ofrW,,1d16b25dcca8,2026-09-19T18:39:49+00:00
78,S400-079,SCOPUS_ID:0028306581,10.1093/ije/23.3.624,"Measles control in Kinshasa, Zaire improved with high coverage and use of medium titre edmonston zagreb vaccine at age 6 months",International Journal Of Epidemiology,[],False,,False,,,,,,,True,0.11,False,no,0.01,0.98,1818,50,7.6356e-05,270.38899998296984,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-wBnWQifpV3UTFH0HPvyr,,1d16b25dcca8,2026-09-19T18:39:49+00:00
79,S400-080,SCOPUS_ID:0033385724,10.1093/ije/28.6.1032,Cohort analysis of cigarette smoking and lung cancer incidence among Norwegian women,International Journal Of Epidemiology,"['Ecological study', 'Lung cancer', 'Non-smokers', 'Smoking cessation', 'Tobacco', 'Women']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1650,50,6.93e-05,254.5959999843035,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-9QwwoF4pE3QfBzs9LAhS,,1d16b25dcca8,2026-09-19T18:39:49+00:00
80,S400-081,SCOPUS_ID:85122245290,10.1007/s10654-021-00829-2,"Lifestyle risk factors and all-cause and cause-specific mortality: assessing the influence of reverse causation in a prospective cohort of 457,021 US adults",European Journal Of Epidemiology,"['Bias', 'Lifestyle risk factors', 'Mortality', 'Prospective study']",False,,False,,,,,,,True,0.1,False,no,0.03,0.95,1868,50,7.8456e-05,285.645707976073,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-Qn1WstIS3d6VbZy2HbcD,,1d16b25dcca8,2026-09-19T18:39:49+00:00
81,S400-082,SCOPUS_ID:85125662200,10.1016/j.ypmed.2022.107004,"Trends in risk factors and management strategies used by people with type 2 diabetes in New South Wales, Australia",Preventive Medicine,"['Nutrition', 'Obesity', 'Physical activity', 'Secondary prevention', 'Self-management behaviours', 'Type 2 diabetes']",True,,True,,,,,,,True,0.93,True,yes,1.0,0.99,1729,50,7.2618e-05,412.4707500159275,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-j0Zik1jt8oFu1vhiWNAW,,1d16b25dcca8,2026-09-19T18:39:50+00:00
82,S400-083,SCOPUS_ID:66149134485,10.1097/EDE.0b013e3181931515,"Self-administered semiquantitative food frequency questionnaires: Patterns, predictors, and interpretation of omitted items",Epidemiology,[],False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1718,50,7.2156e-05,300.4544999857899,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-HWMvyHbbIBGu228eTIUH,,1d16b25dcca8,2026-09-19T18:39:50+00:00
83,S400-084,SCOPUS_ID:85196041254,10.1016/j.amepre.2024.05.016,Communication Policy to Reduce Health Disparities: A Cross-Language Content Analysis of YouTube Television Advertising,American Journal Of Preventive Medicine,[],True,,True,,,,,,,True,0.98,True,yes,1.0,1.0,1828,50,7.6776e-05,282.8668750007637,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-D4ZLHprCJB42CKLuqkba,,1d16b25dcca8,2026-09-19T18:39:50+00:00
84,S400-085,SCOPUS_ID:29044431976,10.1093/eurpub/cki035,Quality control of automatically defined cancer cases by the automated registration system of the Venetian Tumour Registry: Quality control of cancer cases automatically registered,European Journal Of Public Health,"['Automated registration', 'Cancer incidence', 'Quality control']",False,,False,,,,,,,True,0.59,True,yes,0.65,0.3,1637,50,6.8754e-05,310.0207919778768,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-7JbawWbdY0DeqIi1sFXz,,1d16b25dcca8,2026-09-19T18:39:50+00:00
85,S400-086,SCOPUS_ID:0031053641,10.1023/A:1007336609638,An outbreak of hepatitis A in a French day-care center and efforts to combat it,European Journal Of Epidemiology,"['Epidemic', 'Hepatitis A', 'Management of outbreak', 'Transmission']",False,,False,,,,,,,True,0.09,False,no,0.01,0.98,1557,50,6.5394e-05,391.01412502350286,1,typesafe/jev-1.13-20260917,gen-dec-1789843189-Hy4qabDlkdOAip4z053j,,1d16b25dcca8,2026-09-19T18:39:50+00:00
86,S400-087,SCOPUS_ID:84881175717,10.1093/aje/kws478,Changes in fish consumption in midlife and the risk of coronary heart disease in men and women,American Journal Of Epidemiology,"['causal inference', 'causal model', 'cohort', 'coronary artery disease', 'diet', 'intervention', 'lifestyle']",False,,False,,,,,,,True,0.08,False,no,0.01,0.98,1690,50,7.098e-05,317.50637499499135,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-LnB4E1p4zf5JOaRSHX7z,,1d16b25dcca8,2026-09-19T18:39:50+00:00
87,S400-088,SCOPUS_ID:85184833995,10.2105/AJPH.2023.307500,"COVID-19 Vaccination Rates Among North Dakota Residents Who Gave Birth Between April 1, 2021, and July 15, 2022",American Journal Of Public Health,[],True,,True,,,,,,,True,0.81,True,yes,0.96,0.93,1576,50,6.6192e-05,492.5660000008065,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-0hHnTfrjZC89nMqD22Ia,,1d16b25dcca8,2026-09-19T18:39:50+00:00
88,S400-089,SCOPUS_ID:0031021219,10.1097/00001648-199701000-00012,"Reproductive factors, oral contraceptive use, and risk of colorectal cancer",Epidemiology,"['cohort studies', 'colorectal cancer', 'menarche', 'menopause', 'oral contraceptive use', 'parity', 'reproductive factors']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1642,50,6.8964e-05,227.2070420149248,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Us3Z4loxUY5Fu1midRuJ,,1d16b25dcca8,2026-09-19T18:39:50+00:00
89,S400-090,SCOPUS_ID:67749135506,10.1093/aje/kwp146,"The physical and mental health of australian vietnam veterans 3 decades after the war and its relation to military service, combat, and post-traumatic stress disorder",American Journal Of Epidemiology,"['Combat disorders', 'Health status', 'Psychiatry', 'Stress disorders, post-traumatic', 'Veterans', 'Vietnam']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1632,50,6.8544e-05,261.39679198968224,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Jwohdc90Us1PwJMrToVv,,1d16b25dcca8,2026-09-19T18:39:50+00:00
90,S400-091,SCOPUS_ID:0035740601,10.1023/A:1015622016579,American cutaneous leishmaniasis as a rare imported disease in Europe: A case report favourably treated with antimonial derivatives,European Journal Of Epidemiology,"['American cutaneous leishmaniasis', 'Imported disease', 'Italy', 'Meglumine antimoniate', 'Travel']",True,,True,"unclear if this is an empirical paper, sounds like it is just the description of a medical case study?",,,,,,True,0.47,False,yes,0.58,0.15,1437,50,6.0354e-05,458.74841601471417,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-3PaX14h4ViBDw1Kh1rDs,,1d16b25dcca8,2026-09-19T18:39:50+00:00
91,S400-092,SCOPUS_ID:77950416585,10.1093/aje/kwp467,Dietary calcium and magnesium intake and mortality: A prospective study of men,American Journal Of Epidemiology,"['Calcium', 'Dietary supplements', 'Eating', 'Magnesium', 'Men', 'Mortality']",False,,False,,,,,,,True,0.05,False,no,0.0,0.99,1772,50,7.4424e-05,266.97870902717113,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-D4RRzttgBNPjVWpG7oOP,,1d16b25dcca8,2026-09-19T18:39:50+00:00
92,S400-093,SCOPUS_ID:0344562873,10.1093/ije/28.4.640,Increasing inequality in ischaemic heart disease morbidity among employed men in Denmark 1981-1993: The need for a new preventive policy,International Journal Of Epidemiology,"['Bus driver', 'Cohort study', 'Hospitalization', 'Inequality', 'Ischaemic heart disease']",True,,True,,,,,,,True,0.97,True,yes,1.0,1.0,1696,50,7.1232e-05,279.30433402070776,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-dYk7f3DShH3D2X2mwUwk,,1d16b25dcca8,2026-09-19T18:39:50+00:00
93,S400-094,SCOPUS_ID:0032785256,10.2105/AJPH.89.8.1244,Adolescent reproductive events and subsequent breast cancer risk,American Journal Of Public Health,[],False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1522,50,6.3924e-05,296.6942919883877,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Iphj0fvucXgxFl2B03eA,,1d16b25dcca8,2026-09-19T18:39:50+00:00
94,S400-095,SCOPUS_ID:85193744517,10.1007/s10654-024-01131-7,Serum neurofilament light chain as a prognostic marker of all-cause mortality in a national sample of US adults,European Journal Of Epidemiology,"['Aging', 'Biomarker', 'Mortality', 'Neurodegenerative disease', 'Neurofilament light chain', 'Population', 'Prognostic markers']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1788,50,7.5096e-05,351.35983300278895,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-dc5pdxB8G5F6SdtztXoq,,1d16b25dcca8,2026-09-19T18:39:50+00:00
95,S400-096,SCOPUS_ID:0028917862,10.2105/ajph.85.1.61,What if Americans drank less? The potential effect on the prevalence of alcohol abuse and dependence,American Journal Of Public Health,[],True,,False,they only mention direction of future resaerch,!!!,,,False,,True,0.47,False,no,0.35,0.3,1573,50,6.6066e-05,271.85116600594483,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Gc1bP3tQdrzl1RAtWwJ4,,1d16b25dcca8,2026-09-19T18:39:50+00:00
96,S400-097,SCOPUS_ID:85047116797,10.1007/s10654-018-0410-z,Subjective social status and mortality: the English Longitudinal Study of Ageing,European Journal Of Epidemiology,"['Ageing', 'Inequalities', 'Mortality', 'Social status', 'Socioeconomic position']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1709,50,7.1778e-05,332.9550830239896,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-oM80sXTwJ8332qxRkYOW,,1d16b25dcca8,2026-09-19T18:39:50+00:00
97,S400-098,SCOPUS_ID:85098472022,10.1093/eurpub/ckaa094,Parental mortality following the loss of a child to a drug-related death,European Journal Of Public Health,[],False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1705,50,7.161e-05,318.760124995606,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Kfw8jz9hB62LAul5AB4v,,1d16b25dcca8,2026-09-19T18:39:50+00:00
98,S400-099,SCOPUS_ID:85083852821,10.1136/jech-2019-213014,Association of big-5 personality traits with cognitive impairment and dementia: A longitudinal study,Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1850,50,7.77e-05,344.6525420004036,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-G2lXhN4QYRLrxWHRlbuI,,1d16b25dcca8,2026-09-19T18:39:50+00:00
99,S400-100,SCOPUS_ID:0031886269,10.2105/AJPH.88.1.68,Two alternative job stress models and the risk of coronary heart disease,American Journal Of Public Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1637,50,6.8754e-05,365.4076669772621,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-p8jPWJdZxSOZmxsfVVcv,,1d16b25dcca8,2026-09-19T18:39:50+00:00
100,S400-101,SCOPUS_ID:84935498474,10.1016/j.ypmed.2015.06.007,Perceived effectiveness of HPV test as a primary screening modality among US providers,Preventive Medicine,"['Cervical cancer', 'Health care providers', 'Human papillomavirus DNA test', 'Screening']",False,,False,,,,,,,True,0.15,False,no,0.04,0.92,1713,50,7.1946e-05,322.7794160193298,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-Mlt5hczmhxDZFjq0RbtX,,1d16b25dcca8,2026-09-19T18:39:50+00:00
101,S400-102,SCOPUS_ID:0029980199,10.1007/BF00144423,"Prevalence of hepatitis b and c viruses infection in chronic alcoholics with or without liver disease in ioannina, greece: Low incidence of HCV infection",European Journal Of Epidemiology,"['Alcoholism', 'Hepatitis B virus', 'Hepatitis C virus', 'Heroin addiction']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1686,50,7.0812e-05,253.6022920103278,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-FVIeR2DRBjxCUKl45yHN,,1d16b25dcca8,2026-09-19T18:39:50+00:00
102,S400-103,SCOPUS_ID:85096967937,10.1136/jech-2020-214259,Overview of retrospective data harmonisation in the MINDMAP project: Process and results,Journal Of Epidemiology And Community Health,"['Cohort studies', 'epidemiology', 'longitudinal studies', 'methodology']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1689,50,7.0938e-05,270.1731249981094,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-bz3OCyu8nVkeAl9Qi5ds,,1d16b25dcca8,2026-09-19T18:39:50+00:00
103,S400-104,SCOPUS_ID:0041663950,10.1016/S0091-7435(03)00122-1,Social support reduces the impact of partner violence on health: Application of structural equation models,Preventive Medicine,"['Health', 'Modeling', 'Social support', 'Spouse abuse', 'Violence']",True,,True,,,,,,,True,0.89,True,yes,0.99,0.98,1766,50,7.4172e-05,277.06104097887874,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-EXrN1uyYzDEpFKF8m59S,,1d16b25dcca8,2026-09-19T18:39:50+00:00
104,S400-105,SCOPUS_ID:85167823364,10.1016/j.amepre.2023.05.004,Development of a Protocol for Objectively Measuring Digital Device Use in Youth,American Journal Of Preventive Medicine,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1767,50,7.4214e-05,235.2362920064479,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-QyQuqGcsghBA4aCDptCx,,1d16b25dcca8,2026-09-19T18:39:50+00:00
105,S400-106,SCOPUS_ID:0026613837,10.1093/ije/21.1.82,"Perinatal mortality in Jeddah, Saudia Arabia",International Journal Of Epidemiology,[],True,,True,,,,,,,True,0.94,True,yes,1.0,1.0,1762,50,7.4004e-05,255.115666979691,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-89Z2rCpVb0NvFcnUSvDN,,1d16b25dcca8,2026-09-19T18:39:51+00:00
106,S400-107,SCOPUS_ID:84886431585,10.1093/ije/dyt168,"Skin cancer as a marker of sun exposure associates with myocardial infarction, hip fracture and death from any cause",International Journal Of Epidemiology,"['Hip fracture', 'Mortality', 'Myocardial infarction', 'Nationwide study', 'Skin cancer', 'Sun exposure']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1875,50,7.875e-05,249.9398329819087,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-RO8ox4toOgy72FPPNNRQ,,1d16b25dcca8,2026-09-19T18:39:51+00:00
107,S400-108,SCOPUS_ID:84893865482,10.1016/j.amepre.2013.11.008,From the bench to public health: Population-level implementation intentions in colorectal cancer screening,American Journal Of Preventive Medicine,[],True,,True,,,,,,,True,0.67,True,yes,0.77,0.54,1766,50,7.4172e-05,284.2476249788888,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-7hKTFaPxgVf1UWXoKQ4x,,1d16b25dcca8,2026-09-19T18:39:51+00:00
108,S400-109,SCOPUS_ID:84885847742,10.1016/j.ypmed.2013.06.023,Joint associations of poor diet quality and prolonged television viewing time with abnormal glucose metabolism in Australian men and women,Preventive Medicine,"['Food habits', 'Glucose metabolism disorders', 'Sedentary lifestyle', 'Television']",True,marginal,False,They only suggest future research?,!!!,,,True,,True,0.69,True,yes,0.88,0.75,1625,50,6.825e-05,383.9279590174556,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-uNYuPx1KAUDnN7qje4wW,,1d16b25dcca8,2026-09-19T18:39:51+00:00
109,S400-110,SCOPUS_ID:0030470141,10.1093/ije/25.6.1227,Asthma presentations to emergency departments in western Sydney during the January 1994 bushfires,International Journal Of Epidemiology,"['Asthma', 'Emergency department', 'Epidemiology', 'Fires', 'Particulate air pollution', 'Smoke']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1741,50,7.3122e-05,275.20616599940695,1,typesafe/jev-1.13-20260917,gen-dec-1789843190-YaCQ1zagkKaV2xkEWfiK,,1d16b25dcca8,2026-09-19T18:39:51+00:00
110,S400-111,SCOPUS_ID:84880155431,10.2105/AJPH.2013.301429,State politics and the creation of health insurance exchanges,American Journal Of Public Health,[],True,non-emperical,True,,,,,,,True,0.91,True,yes,0.99,0.98,1456,50,6.1152e-05,339.2669169988949,1,typesafe/jev-1.13-20260917,gen-dec-1789843191-w02a1oO6HX4K1ZsR8DuZ,,1d16b25dcca8,2026-09-19T18:39:51+00:00
111,S400-112,SCOPUS_ID:0033911501,10.1016/S0749-3797(00)00183-5,The cost to providers of participating in an immunization registry,American Journal Of Preventive Medicine,[],False,borderline,False,,,,,,,True,0.64,True,yes,0.75,0.5,1640,50,6.888e-05,313.4262500097975,1,typesafe/jev-1.13-20260917,gen-dec-1789843191-epywPnWTY6uDSTIQWDNT,,1d16b25dcca8,2026-09-19T18:39:51+00:00
