source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes...12,EC review,EC notes,DB notes...15,...16,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,...25,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
45,SCOPUS_ID:0029949732,10.1006/pmed.1996.0058,Exposure to environmental tobacco smoke - Perceptions of African American children and adolescents,Preventive Medicine,1996,"['attitudes', 'environmental tobacco smoke', 'knowledge', 'preventive efforts']",United States,20,FALSE,TRUE,clear,TRUE,"Agreed, clear policy recommendation, with use of 'should'",,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.93,TRUE,yes,0.99,0.99,1680,50,7.056e-5,255.977,,typesafe/jev-1.13-20260917,gen-dec-1789843861-YmrySgtbfcUIsPgHjKhU,,1d16b25dcca8,2026-09-19T18:51:08+0000
46,SCOPUS_ID:85085015109,10.1016/j.amepre.2020.03.024,"Alcohol Use and Suicidality by Sexual Orientation Among U.S. Youth, 2009â€“2017",American Journal of Preventive Medicine,2020,[],United States,8,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.18,FALSE,no,0.07,0.86,1689,50,7.0938e-5,248.065,,typesafe/jev-1.13-20260917,gen-dec-1789843861-OJ67KD4Thp2DOyuHCkVn,,1d16b25dcca8,2026-09-19T18:51:08+0000
47,SCOPUS_ID:0033962566,10.1006/pmed.1999.0608,Changes in serum total cholesterol levels over 18 years in a cohort of men and women: The Nijmegen cohort study,Preventive Medicine,2000,"['Cholesterol', 'Cohort', 'Epidemiology']",Netherlands,16,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1878,50,7.8876e-5,320.96000000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843861-HzqVX77pDtEAbgDm5rxw,,1d16b25dcca8,2026-09-19T18:51:08+0000
48,SCOPUS_ID:84959905141,10.1016/j.ypmed.2016.02.001,The influence of electronic cigarette age purchasing restrictions on adolescent tobacco and marijuana use,Preventive Medicine,2016,"['E-cigarettes', 'Electronic nicotine delivery systems', 'Minimum legal purchase age', 'Tobacco control']",United States,72,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.14,FALSE,no,0.02,0.95,1615,50,6.783e-5,383.14500000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843861-0mCp7XbdAWXlGSEpe1tT,,1d16b25dcca8,2026-09-19T18:51:08+0000
49,SCOPUS_ID:84890514902,10.1093/eurpub/cks187,"Association between parental perceptions of residential neighbourhood environments and childhood obesity in Porto, Portugal",European Journal of Public Health,2013,[],Portugal,13,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1779,50,7.4718e-5,257.726,,typesafe/jev-1.13-20260917,gen-dec-1789843861-P8XDyvLztvJxTIockcB3,,1d16b25dcca8,2026-09-19T18:51:08+0000
50,SCOPUS_ID:67749091014,10.1093/aje/kwp143,Age of onset in concordant twins and other relative pairs with multiple sclerosis,American Journal of Epidemiology,2009,"['Age of onset', 'Environment', 'Family', 'Genetics', 'Multiple sclerosis', 'Twins']",Canada,27,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1732,50,7.2744e-5,453.10200000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843861-JPfy3LmBThUXU1ZpHFEf,,1d16b25dcca8,2026-09-19T18:51:08+0000
51,SCOPUS_ID:84857279547,10.2105/AJPH.2011.300295,Position-specific HIV risk in a large network of homeless youths,American Journal of Public Health,2012,[],United States,61,FALSE,TRUE,marginal,TRUE,Carefully worded but still a strong policy rec based on correlational analyses,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.95,TRUE,yes,1,0.99,1598,50,6.7116e-5,256.49100000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843861-3xwC7dsaqdBslVhf8q0Z,,1d16b25dcca8,2026-09-19T18:51:08+0000
52,SCOPUS_ID:85084695125,10.1093/eurpub/ckaa031,Estonia advances on SDG achievement by tackling high alcohol consumption through a multi-pronged approach,European Journal of Public Health,2020,[],Estonia,6,FALSE,FALSE,n/a it's a comment which describes past policy. Shouldn't be in the list but the filtering is imperfect,FALSE,,,,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.09,FALSE,no,0,0.99,1510,50,6.342e-5,277.749,,typesafe/jev-1.13-20260917,gen-dec-1789843861-wPw0cwM17ebafZgo4Mpo,,1d16b25dcca8,2026-09-19T18:51:08+0000
53,SCOPUS_ID:0033557398,10.1093/oxfordjournals.aje.a009814,Double-blind intervention trial on modulation of ozone effects on pulmonary function by antioxidant supplements,American Journal of Epidemiology,1999,"['Antioxidants', 'Bicycling', 'Ozone', 'Spirometry', 'Vitamins']",Netherlands,72,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1685,50,7.077e-5,290.396,,typesafe/jev-1.13-20260917,gen-dec-1789843861-9WZfazVICC8DFWNfiPUx,,1d16b25dcca8,2026-09-19T18:51:08+0000
54,SCOPUS_ID:0033019577,10.1136/jech.53.7.412,Determinants of self assessed health among Spanish older people living at home,Journal of Epidemiology & Community Health,1999,[],Spain,111,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.16,FALSE,no,0.05,0.89,1768,50,7.4256e-5,302.294,,typesafe/jev-1.13-20260917,gen-dec-1789843861-OBLHwYjwxsFxk6S3OPnw,,1d16b25dcca8,2026-09-19T18:51:08+0000
55,SCOPUS_ID:78751685435,10.1016/j.ypmed.2010.07.005,Screen time and risk behaviors in 10- to 16-year-old Canadian youth,Preventive Medicine,2011,"['Adolescent', 'Computer', 'Risky behaviors', 'Television', 'Video games']",Canada,52,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.24,FALSE,no,0.07,0.86,1644,50,6.9048e-5,277.90999999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843862-Ps4mWpIM4dQbmg2iVnvf,,1d16b25dcca8,2026-09-19T18:51:08+0000
56,SCOPUS_ID:33744471162,10.1136/jech.2005.039032,Do perceptions of neighbourhood environment influence health? Baseline findings from a British survey of aging,Journal of Epidemiology & Community Health,2006,[],United Kingdom,123,FALSE,TRUE,clear - broad but vague implications,TRUE,They talk about implications for… Might be stronger in the paper itself,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.94,TRUE,yes,1,0.99,1662,50,6.9804e-5,279.968,,typesafe/jev-1.13-20260917,gen-dec-1789843862-yQe186JPnNe6nO0CBSGN,,1d16b25dcca8,2026-09-19T18:51:08+0000
57,SCOPUS_ID:84862587399,10.2105/AJPH.2011.300408,Integrating biodiversity management and indigenous biopiracy protection to promote environmental justice and global health,American Journal of Public Health,2012,[],United States,25,,TRUE,,,,,Review article,,,,,TRUE,,TRUE,,,TRUE,,non emperical paper,TRUE,0.96,TRUE,yes,1,1,1511,50,6.3462e-5,238.347,,typesafe/jev-1.13-20260917,gen-dec-1789843862-lqAI5cjncs99smp1gW0Z,,1d16b25dcca8,2026-09-19T18:51:08+0000
58,SCOPUS_ID:2142711607,10.1136/jech.2003.009852,Is perceived failure in school performance a trigger of physical injury? A case-crossover study of children in Stockholm County,Journal of Epidemiology & Community Health,2004,[],Sweden,8,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,1,1597,50,6.7074e-5,279.24199999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843862-koyUg9rQjqpXSDqOt8i1,,1d16b25dcca8,2026-09-19T18:51:08+0000
59,SCOPUS_ID:85047410366,10.1097/EDE.0000000000000795,Diagnostic performance of one-off flexible sigmoidoscopy with fecal immunochemical testing in a large screening population,Epidemiology,2018,[],Germany,9,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.23,FALSE,no,0.13,0.75,1718,50,7.2156e-5,327.065,,typesafe/jev-1.13-20260917,gen-dec-1789843862-bDlyyouvHDy2zRgZFbGD,,1d16b25dcca8,2026-09-19T18:51:08+0000
60,SCOPUS_ID:76549115338,10.1016/j.amepre.2009.10.040,"Neighborhood, Route, and School Environments and Children's Active Commuting",American Journal of Preventive Medicine,2010,[],United Kingdom,192,FALSE,FALSE,FALSE,FALSE,Calls for the development of interventions,,test if calling for interventions to test !=policy,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.82,TRUE,yes,0.96,0.91,1715,50,7.203e-5,344.07500000000005,,typesafe/jev-1.13-20260917,gen-dec-1789843862-GNuLC79f7vetIZfWk0t8,,1d16b25dcca8,2026-09-19T18:51:08+0000
61,SCOPUS_ID:84905561636,10.1097/EDE.0000000000000143,Long-term exposure to crystalline silica and risk of heart disease mortality,Epidemiology,2014,[],United States,30,FALSE,FALSE,marginal,FALSE,"They call for new thresholds, which might be a concrete interventions? hard to call this one","agree - The LLM gave good reasoning for this call when I asked it (It suggests that current regulatory standards (""permissible exposure limits"") may need revision—a clear call for attention from policymakers or occupational safety regulators.",,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.9,TRUE,yes,0.98,0.97,1777,50,7.4634e-5,294.234,,typesafe/jev-1.13-20260917,gen-dec-1789843862-FBBokOCYZB7rBXMkbMfX,,1d16b25dcca8,2026-09-19T18:51:08+0000
62,SCOPUS_ID:18844403140,10.1007/s10654-004-6880-1,The epidemiology of anophthalmia and microphthalmia in Sweden,European Journal of Epidemiology,2005,"['Anophthalmia', 'Epidemiology', 'Maternal age', 'Microphthalmia', 'Smoking']",Sweden,65,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1672,50,7.0224e-5,308.258,,typesafe/jev-1.13-20260917,gen-dec-1789843862-cVGZn3s6VDoo90ghRdBe,,1d16b25dcca8,2026-09-19T18:51:08+0000
63,SCOPUS_ID:0031028150,10.1016/s0749-3797(18)30226-5,Representations of menopause and their health care implications: A qualitative study,American Journal of Preventive Medicine,1997,[],United States,20,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.73,TRUE,yes,0.93,0.85,1680,50,7.056e-5,294.489,,typesafe/jev-1.13-20260917,gen-dec-1789843862-xdAg6nCTDplPjkH8LIq2,,1d16b25dcca8,2026-09-19T18:51:08+0000
64,SCOPUS_ID:0030039192,10.1093/ije/25.1.5,Cancer mortality among North African migrants in France,International Journal of Epidemiology,1996,"['Cancer', 'Migrants', 'Mortality', 'North Africa', 'Relative risk']",Switzerland,46,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1705,50,7.161e-5,301.504,,typesafe/jev-1.13-20260917,gen-dec-1789843862-cAD7oZHbaqyz0lK3Cyk6,,1d16b25dcca8,2026-09-19T18:51:08+0000
65,SCOPUS_ID:84902668737,10.2105/AJPH.2014.301947,Gender-specific associations of objective and perceived neighborhood characteristics with body mass index and waist circumference among older adults in the English Longitudinal Study of Ageing,American Journal of Public Health,2014,[],United Kingdom,18,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.93,TRUE,yes,1,0.99,1634,50,6.8628e-5,295.724,,typesafe/jev-1.13-20260917,gen-dec-1789843862-SVH76EsnH1I3ajh39SQR,,1d16b25dcca8,2026-09-19T18:51:08+0000
66,SCOPUS_ID:0032914081,10.1136/jech.53.6.348,Association between job characteristics and plasma fibrinogen in a normal working population: A cross sectional analysis in referents of the SHEEP study,Journal of Epidemiology & Community Health,1999,[],Sweden,49,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1840,50,7.728e-5,352.193,,typesafe/jev-1.13-20260917,gen-dec-1789843862-AtzOktigtcI7O9SwbfBr,,1d16b25dcca8,2026-09-19T18:51:08+0000
67,SCOPUS_ID:85005916303,10.1016/j.amepre.2016.09.016,Association of Bacterial Vaginosis With Chlamydia and Gonorrhea Among Women in the U.S. Army,American Journal of Preventive Medicine,2017,[],United Kingdom,52,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1772,50,7.4424e-5,263.625,,typesafe/jev-1.13-20260917,gen-dec-1789843862-mYu8mzQ5PRhbdfuhrA93,,1d16b25dcca8,2026-09-19T18:51:08+0000
68,SCOPUS_ID:0032440796,10.2105/ajph.88.12.1846,Potential barriers to the removal of norplant among family planning clinic patients,American Journal of Public Health,1998,[],United States,3,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.97,TRUE,yes,1,1,1508,50,6.3336e-5,367.467,,typesafe/jev-1.13-20260917,gen-dec-1789843862-wcR5bDWB3XU4Qf1IqorF,,1d16b25dcca8,2026-09-19T18:51:08+0000
69,SCOPUS_ID:0032694208,10.1023/A:1007611412532,Osteoporosis and years since menopause,European Journal of Epidemiology,1999,"['Bone mineral density (BMD)', 'Epidemiology', 'Osteoporosis', 'Years since menopause']",Japan,8,FALSE,FALSE,,FALSE,Unclear whether the abstract is not truncated,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1758,50,7.3836e-5,308.225,,typesafe/jev-1.13-20260917,gen-dec-1789843862-Mfghymwo3uwHFuLpmTgG,,1d16b25dcca8,2026-09-19T18:51:08+0000
70,SCOPUS_ID:0030850107,10.2105/AJPH.87.6.1022,Prenatal health behaviors and psychosocial risk factors in pregnant women of mexican origin: The role of acculturation,American Journal of Public Health,1997,[],United States,199,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1486,50,6.2412e-5,324.336,,typesafe/jev-1.13-20260917,gen-dec-1789843862-FIj2dQrEBzhp3zYfLJFf,,1d16b25dcca8,2026-09-19T18:51:08+0000
71,SCOPUS_ID:79960815320,10.1093/aje/kwr086,Evaluating the incremental value of new biomarkers with integrated discrimination improvement,American Journal of Epidemiology,2011,"['biological markers', 'bootstrap confidence interval', 'prediction', 'risk assessment', 'sampling distribution', 'sampling error', 'selection bias', 'type I error']",United States,167,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0.01,0.97,1576,50,6.6192e-5,371.514,,typesafe/jev-1.13-20260917,gen-dec-1789843862-qEIaffy29aoDj3ilApfV,,1d16b25dcca8,2026-09-19T18:51:08+0000
72,SCOPUS_ID:84880312110,10.1016/j.amepre.2013.03.019,Challenges in cervical cancer prevention: A survey of U.S. Obstetrician-Gynecologists,American Journal of Preventive Medicine,2013,[],United States,72,FALSE,FALSE,marginal,TRUE,I didnt not understand that they were calling for RCTs?,LLM stated TRUE in latest prompt,,,,!!!,TRUE,TRUE,"borderline. ""may improve"" is very carefully worded",TRUE,,,TRUE,TRUE,,TRUE,0.87,TRUE,yes,0.98,0.97,1753,50,7.3626e-5,282.54200000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843862-GpzK038efiUhAYFb5VY5,,1d16b25dcca8,2026-09-19T18:51:08+0000
73,SCOPUS_ID:79955779649,10.1093/aje/kwq502,Dynamic path analysis in life-course epidemiology,American Journal of Epidemiology,2011,"['blood pressure', 'body mass index', 'epidemiologic methods', 'heart diseases', 'path analysis', 'survival analysis']",Denmark,19,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1630,50,6.846e-5,275.482,,typesafe/jev-1.13-20260917,gen-dec-1789843862-n9VS3QaaAkzpszjQK4rL,,1d16b25dcca8,2026-09-19T18:51:08+0000
74,SCOPUS_ID:84907201782,10.2105/AJPH.2013.301735,Factors influencing adoption of and adherence to indoor smoking bans among health disparity communities,American Journal of Public Health,2014,[],United States,12,,FALSE,,,"Truncated abstract, I can only see the methods.",latest filtering should remove,,,,,,FALSE,scopus didnt properly obtain the abstract,FALSE,,,FALSE,,incomplete abstract,TRUE,0.03,FALSE,no,0,1,1442,50,6.0564e-5,295.469,,typesafe/jev-1.13-20260917,gen-dec-1789843862-AU9Xkux5qxvMXgbi4EiB,,1d16b25dcca8,2026-09-19T18:51:08+0000
75,SCOPUS_ID:0028282150,10.1136/jech.48.2.188,Prevalence of total hip replacement: How much demand has been met?,Journal of Epidemiology & Community Health,1994,[],United Kingdom,27,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.13,FALSE,no,0.03,0.94,1680,50,7.056e-5,242.388,,typesafe/jev-1.13-20260917,gen-dec-1789843862-2iRQYzpWM4GHpeJeYN8g,,1d16b25dcca8,2026-09-19T18:51:08+0000
76,SCOPUS_ID:0026747758,10.2105/AJPH.82.8.1133,Does equal socioeconomic status in Black and White men mean equal risk of mortality?,American Journal of Public Health,1992,[],United States,97,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1518,50,6.3756e-5,506.954,,typesafe/jev-1.13-20260917,gen-dec-1789843862-QTIA3qKNm2Y5Hc0zLbMD,,1d16b25dcca8,2026-09-19T18:51:08+0000
77,SCOPUS_ID:0029968968,10.2105/AJPH.86.11.1607,"Childhood victimization and subsequent risk for promiscuity, prostitution, and teenage pregnancy: A prospective study",American Journal of Public Health,1996,[],United States,300,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.08,FALSE,no,0.01,0.99,1612,50,6.7704e-5,327.365,,typesafe/jev-1.13-20260917,gen-dec-1789843862-Pa2os6dZ0x981HeeY7fr,,1d16b25dcca8,2026-09-19T18:51:08+0000
78,SCOPUS_ID:85055798363,10.1093/aje/kwy158,The Number of Events per Confounder for Valid Estimation of Risk Difference Using Modified Least-Squares Regression,American Journal of Epidemiology,2018,"['confounding', 'events per confounder', 'linear binomial model', 'modified least-squares regression', 'prenatal care', 'risk difference', 'simulation study']",Japan,5,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,0.99,1625,50,6.825e-5,294.439,,typesafe/jev-1.13-20260917,gen-dec-1789843862-CiGf7fUupGEBl35X0y7T,,1d16b25dcca8,2026-09-19T18:51:08+0000
79,SCOPUS_ID:84871232651,10.1093/aje/kws212,Perinatal and family risk factors for Hodgkin lymphoma in childhood through young adulthood,American Journal of Epidemiology,2012,"['birth order', 'family', 'fetal development', 'gestational age', 'Hodgkin disease', 'lymphoma', 'maternal age']",United States,51,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1715,50,7.203e-5,256.344,,typesafe/jev-1.13-20260917,gen-dec-1789843862-Kfv0UAhc2GRoYgOBYrX4,,1d16b25dcca8,2026-09-19T18:51:08+0000
80,SCOPUS_ID:0034032147,10.1023/A:1007621104789,Use of unconventional methods of therapy by cancer patients in Pakistan,European Journal of Epidemiology,2000,"['Alternative medicine', 'Cancer patients', 'Developing countries', 'Unconventional medicine']",Pakistan,39,FALSE,FALSE,"marginal given it's a qual study, but doesn't directly make a policy claim? [on 2nd reading I could see this be TRUE, but I kept my original rating]",TRUE,"It is vaguely worded but the last sentence calls for alternative policy focus, e.g. public educatino",OK for discrepency if marginal,,,,!!!,TRUE,TRUE,"borderline case. ""may improve"" is very carefully worded",TRUE,,,TRUE,TRUE,,TRUE,0.94,TRUE,yes,1,0.99,1751,50,7.3542e-5,326.956,,typesafe/jev-1.13-20260917,gen-dec-1789843862-PP8mpbBFk0wQpHy5FxBv,,1d16b25dcca8,2026-09-19T18:51:08+0000
81,SCOPUS_ID:79960805262,10.1093/aje/kwr074,"Changes in the prevalence of cognitive impairment among older Americans, 1993-2004: Overall trends and differences by race/ethnicity",American Journal of Epidemiology,2011,"['African Americans', 'aged', 'aged, 80 and over', 'cognition disorders', 'health status disparities', 'Hispanic Americans', 'prevalence', 'socioeconomic factors']",United States,40,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1735,50,7.287e-5,311.289,,typesafe/jev-1.13-20260917,gen-dec-1789843862-jwFasmqbIkD8LOqvMPhE,,1d16b25dcca8,2026-09-19T18:51:08+0000
82,SCOPUS_ID:85042868429,10.1136/jech-2017-209333,Longitudinal analysis of cardiovascular disease risk profile in neighbourhood poverty subgroups: 5-year results from an afterschool fitness programme in the USA,Journal of Epidemiology & Community Health,2018,"['cardiovascular disease', 'child health', 'health inequalities', 'physical activity', 'poverty']",United States,19,FALSE,FALSE,,TRUE,Compelling evidence' for intervention,,,,,!!!,TRUE,FALSE,borderline,TRUE,They do they that their paper provides compelling evidence for the park intervention,,TRUE,TRUE,,TRUE,0.16,FALSE,no,0.03,0.94,1841,50,7.7322e-5,334.407,,typesafe/jev-1.13-20260917,gen-dec-1789843862-Uc2pTT7RzlGqyIMDntUI,,1d16b25dcca8,2026-09-19T18:51:08+0000
83,SCOPUS_ID:84929055179,10.1093/eurpub/cku229,Comparing variation across European countries: Building geographical areas to provide sounder estimates,European Journal of Public Health,2015,[],Spain,7,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.09,FALSE,no,0.01,0.98,1699,50,7.1358e-5,272.78799999999995,,typesafe/jev-1.13-20260917,gen-dec-1789843862-eGeNzMqVzs5snzlMKTNP,,1d16b25dcca8,2026-09-19T18:51:08+0000
84,SCOPUS_ID:0027940114,10.1093/ije/23.4.673,No improvement in survival from melanoma diagnosed from 1973 to 1984,International Journal of Epidemiology,1994,[],United States,9,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1788,50,7.5096e-5,352.555,,typesafe/jev-1.13-20260917,gen-dec-1789843862-J1IyPLrrbQKhKzV3YGtu,,1d16b25dcca8,2026-09-19T18:51:08+0000
85,SCOPUS_ID:31944433220,10.1007/s10654-005-4724-2,Characteristics and analysis of risk factors for mortality in infective endocarditis,European Journal of Epidemiology,2006,"['Endocarditis', 'Haemodialysis', 'Mental alteration', 'Mortality', 'Prognosis', 'Vegetation']",TÃ¼rkiye,48,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1900,50,7.98e-5,285.549,,typesafe/jev-1.13-20260917,gen-dec-1789843863-08zYD4GPhKq5mcq29HUE,,1d16b25dcca8,2026-09-19T18:51:08+0000
86,SCOPUS_ID:0025918863,10.2105/AJPH.81.1.53,"AIDS-related knowledge, sexual behavior, and condom use among men and women in Kinshasa, Zaire",American Journal of Public Health,1991,[],United States,39,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1520,50,6.384e-5,359.803,,typesafe/jev-1.13-20260917,gen-dec-1789843863-guLQm9QOw8z2UXFWDMha,,1d16b25dcca8,2026-09-19T18:51:08+0000
87,SCOPUS_ID:85207423519,10.1136/jech-2024-222677,Association of housing tenure and unaffordable housing with preterm birth and other adverse birth outcomes in Canada: a population-based study,Journal of Epidemiology & Community Health,2024,[],Canada,0,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.17,FALSE,no,0.06,0.88,1803,50,7.5726e-5,332.655,,typesafe/jev-1.13-20260917,gen-dec-1789843863-w4OT3VhSqXNsp3CwDEnx,,1d16b25dcca8,2026-09-19T18:51:08+0000
88,SCOPUS_ID:85108568071,10.1136/jech-2021-216581,Effectiveness of the population-based a â‚¬ check your health preventive programme' conducted in a primary care setting: A pragmatic randomised controlled trial,Journal of Epidemiology & Community Health,2022,"['epidemiology of chronic non communicable diseases', 'health promotion', 'prevention', 'treatment outcome']",Denmark,2,FALSE,FALSE,,TRUE,Strong claim on effectiveness of intervention in RCT,,,,,,FALSE,FALSE,Conclusion seemed to describe study results,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,1,1946,50,8.1732e-5,351.537,,typesafe/jev-1.13-20260917,gen-dec-1789843863-b6liJQ27w80Rl2tOrYzO,,1d16b25dcca8,2026-09-19T18:51:08+0000
89,SCOPUS_ID:84856106049,10.1093/eurpub/ckq193,Prevalence and regional differences of gestational diabetes mellitus and oral glucose tolerance tests in Finland,European Journal of Public Health,2012,[],Finland,20,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1735,50,7.287e-5,297.87,,typesafe/jev-1.13-20260917,gen-dec-1789843863-i7p5bIVHmVsep6LBm5wX,,1d16b25dcca8,2026-09-19T18:51:08+0000
90,SCOPUS_ID:0842281637,10.1016/j.ypmed.2003.11.003,"Nicotine dependence, quit attempts, and quitting among smokers in a regional population sample from a country with a high prevalence of tobacco smoking",Preventive Medicine,2004,"['Nicotine dependence', 'Quit attempts', 'Smoking', 'Smoking cessation']",Germany,82,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.95,TRUE,yes,1,1,1622,50,6.8124e-5,302.562,,typesafe/jev-1.13-20260917,gen-dec-1789843863-cZIqPUGqQYQxjPVXAT54,,1d16b25dcca8,2026-09-19T18:51:08+0000
91,SCOPUS_ID:85142342895,10.1016/j.ypmed.2022.107345,Total cost of care associated with opioid use disorder treatment,Preventive Medicine,2023,"['Healthcare cost', 'Medicaid', 'Medication for opioid use disorder']",United States,2,FALSE,TRUE,"marginal e.g., additional policy is required may be reasonable eg to solve an unresolved health issue",TRUE,Vaguely worded but calls for policy changes,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.97,TRUE,yes,1,1,1635,50,6.867e-5,339.497,,typesafe/jev-1.13-20260917,gen-dec-1789843863-1aqmJIOVvEgC2b8BCQPo,,1d16b25dcca8,2026-09-19T18:51:08+0000
92,SCOPUS_ID:0035038622,10.2105/AJPH.91.5.761,Depression and substance use in minority middle-school students,American Journal of Public Health,2001,[],United States,90,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.94,TRUE,yes,1,1,1574,50,6.6108e-5,268.298,,typesafe/jev-1.13-20260917,gen-dec-1789843863-i1riNmm7bJTYH1f1adGT,,1d16b25dcca8,2026-09-19T18:51:08+0000
