source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,...13,...14,db_double_checked,...16,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
54,S400-055,SCOPUS_ID:0036197215,10.1136/jech.56.4.301,Comparing hospital discharge records with death certificates: Can the differences be explained?,Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1662,50,6.9804e-5,362.85699999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843884-q21vr2jkAxrzW3lihhMU,,1d16b25dcca8,2026-09-19T18:51:29+0000
55,S400-056,SCOPUS_ID:0028972474,10.1093/oxfordjournals.aje.a117495,"Family history and prostate cancer risk in black, white, and Asian men in the United States and Canada",American Journal Of Epidemiology,"['Androgens;', 'Asian-Americans;', 'Blacks;', 'Ethnic groups;', 'Family;', 'Prostatic neoplasms;', 'Whites.']",FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1719,50,7.2198e-5,442.189,,typesafe/jev-1.13-20260917,gen-dec-1789843884-MbT0wnMLIAzK7JOqr77U,,1d16b25dcca8,2026-09-19T18:51:29+0000
56,S400-057,SCOPUS_ID:85024399831,10.1093/aje/kwx059,Are Lowered Socioeconomic Circumstances Causally Related to Tooth Loss? A Natural Experiment Involving the 2011 Great East Japan Earthquake,American Journal Of Epidemiology,"['change in economic status', 'instrumental variable analyses', 'natural disaster', 'natural experiment', 'oral health', 'tooth loss']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1647,50,6.9174e-5,380.472,,typesafe/jev-1.13-20260917,gen-dec-1789843884-pORi5LXYy6dkG2TTYpDF,,1d16b25dcca8,2026-09-19T18:51:29+0000
57,S400-058,SCOPUS_ID:85099499256,10.1016/j.ypmed.2020.106355,Racial disparities in occupational risks and lung cancer incidence: Analysis of the National Lung Screening Trial,Preventive Medicine,[],TRUE,,TRUE,,,,,,,TRUE,0.98,TRUE,yes,1,1,1741,50,7.3122e-5,502.45799999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843884-TrusmYoMl44RlOvzua2q,,1d16b25dcca8,2026-09-19T18:51:29+0000
58,S400-059,SCOPUS_ID:84878536226,10.1093/aje/kws373,The healthy worker effect in cancer incidence studies,American Journal Of Epidemiology,"['cancer incidence', 'cohort studies', 'educational level', 'healthy worker effect', 'mortality']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1781,50,7.4802e-5,263.61400000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843884-gjiQg0udIflZAIr26xIg,,1d16b25dcca8,2026-09-19T18:51:29+0000
59,S400-060,SCOPUS_ID:34047194090,10.1093/eurpub/ckl103,The four ages of Down syndrome,European Journal Of Public Health,"['Comorbidity', 'Data linkage', 'Down syndrome', 'Life expectancy', 'Life stages', 'Mortality']",TRUE,,TRUE,,,,,,,TRUE,0.94,TRUE,yes,1,1,1764,50,7.4088e-5,325.864,,typesafe/jev-1.13-20260917,gen-dec-1789843884-N2HVz9Wa1R0S3bbpqdfF,,1d16b25dcca8,2026-09-19T18:51:29+0000
60,S400-061,SCOPUS_ID:85214397946,10.1136/jech-2024-223072,Trends in physical fitness among Lithuanian adolescents aged 11-17 years between 1992 and 2022,Journal Of Epidemiology And Community Health,"['ADOLESCENT', 'EXERCISE', 'HEALTH PROMOTION', 'HEALTH STATUS', 'POLICY']",TRUE,,TRUE,,,,,,,TRUE,0.98,TRUE,yes,1,1,1751,50,7.3542e-5,294.228,,typesafe/jev-1.13-20260917,gen-dec-1789843884-v4MArNfSE2Ldrsntgv1O,,1d16b25dcca8,2026-09-19T18:51:29+0000
61,S400-062,SCOPUS_ID:85159570565,10.1016/j.ypmed.2023.107544,"Family structure and living arrangements as indicators of social isolation, and prostate cancer risk",Preventive Medicine,"['Case-control study', 'Family structure', 'Living arrangements', 'Marital status', 'Prostate cancer', 'Social isolation']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1697,50,7.1274e-5,304.285,,typesafe/jev-1.13-20260917,gen-dec-1789843884-XVdVy3skhwIDzY7Yc4Iv,,1d16b25dcca8,2026-09-19T18:51:29+0000
62,S400-063,SCOPUS_ID:85038918024,10.1016/j.ypmed.2017.11.023,"Cervical cancer screening uptake among HIV-positive women in Ontario, Canada: A population-based retrospective cohort study",Preventive Medicine,"['Cervical cancer screening', 'HIV', 'HPV', 'Mass screening', 'Women']",TRUE,,TRUE,,,,,,,TRUE,0.92,TRUE,yes,1,0.99,1740,50,7.308e-5,312.572,,typesafe/jev-1.13-20260917,gen-dec-1789843884-LCaDgNSluI7XTqvKLa3j,,1d16b25dcca8,2026-09-19T18:51:29+0000
63,S400-064,SCOPUS_ID:27744533536,10.1007/s10654-005-2148-7,Collecting saliva by mail for genetic and cotinine analyses in participants recruited through the internet,European Journal Of Epidemiology,"['Cotinine', 'Epidemiology', 'Internet', 'Nicotine Dependence', 'Nicotinic Receptors', 'Smoking']",FALSE,,FALSE,,,,,,,TRUE,0.07,FALSE,no,0.01,0.98,1669,50,7.0098e-5,237.647,,typesafe/jev-1.13-20260917,gen-dec-1789843884-g8ZJvy5GFkdVQDK5fyzq,,1d16b25dcca8,2026-09-19T18:51:29+0000
64,S400-065,SCOPUS_ID:0026696145,10.1093/oxfordjournals.aje.a116348,Intensive surveillance for infections in a three-year study of nursing home patients,American Journal Of Epidemiology,"['Aged', 'Cross infection', 'Diagnosis', 'Disease outbreaks', 'Nursing homes']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1708,50,7.1736e-5,288.948,,typesafe/jev-1.13-20260917,gen-dec-1789843884-18zD3C1n1i92DiiQdbk7,,1d16b25dcca8,2026-09-19T18:51:29+0000
65,S400-066,SCOPUS_ID:0031895713,10.1097/00001648-199803000-00008,The relation between income and mortality in U.S. blacks and whites,Epidemiology,"['Income', 'Kernel smoothing', 'Methods', 'Mortality', 'Poverty', 'Race', 'Socioeconomic factors']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1620,50,6.804e-5,290.511,,typesafe/jev-1.13-20260917,gen-dec-1789843884-UBZkRupM7FFpmKs6HOkn,,1d16b25dcca8,2026-09-19T18:51:30+0000
66,S400-067,SCOPUS_ID:0026665612,10.1093/oxfordjournals.aje.a116216,Methods for inference on transmission in seroprevalence data for multiple infections,American Journal Of Epidemiology,"['Cross-sectional studies', 'Epidemiologic methods', 'Hepatitis B virus', 'Hepatitis C virus', 'Models', 'Prevalence', 'Serology', 'Statistical']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1652,50,6.9384e-5,272.341,,typesafe/jev-1.13-20260917,gen-dec-1789843884-bsdke9tXmoRegIpYX7F1,,1d16b25dcca8,2026-09-19T18:51:30+0000
67,S400-068,SCOPUS_ID:3042686522,10.1093/eurpub/14.2.168,"Sport involvement, sport violence and health behaviours of Greek adolescents",European Journal Of Public Health,"['Age', 'Exercise', 'Greece', 'Health-risks', 'Sport violence']",TRUE,,TRUE,,,,,,,TRUE,0.97,TRUE,yes,1,1,1653,50,6.9426e-5,321.041,,typesafe/jev-1.13-20260917,gen-dec-1789843884-xndcpuuFqGIKbWGgKx0T,,1d16b25dcca8,2026-09-19T18:51:30+0000
68,S400-069,SCOPUS_ID:85147834666,10.1136/jech-2022-219829,Exploring the associations of daily movement behaviours and mid-life cognition: A compositional analysis of the 1970 British Cohort Study,Journal Of Epidemiology And Community Health,"['AGING', 'COGNITION', 'DEMENTIA', 'EXERCISE', 'SLEEP']",TRUE,,TRUE,,,,,,,TRUE,0.81,TRUE,yes,0.95,0.9,1779,50,7.4718e-5,337.397,,typesafe/jev-1.13-20260917,gen-dec-1789843884-PcYVu7E7c0yxN2HQO8Zj,,1d16b25dcca8,2026-09-19T18:51:30+0000
69,S400-070,SCOPUS_ID:9344236905,10.1093/eurpub/2.1.29,Evolution and distribution of childhood leukemia mortality in Greece: Etiological implications,European Journal Of Public Health,"['Childhood leukemia', 'Herd immunity', 'Place clustering']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1652,50,6.9384e-5,305.895,,typesafe/jev-1.13-20260917,gen-dec-1789843884-xpWGnDICWbZs6rJw6zyc,,1d16b25dcca8,2026-09-19T18:51:30+0000
70,S400-071,SCOPUS_ID:84983488780,10.1136/jech-2015-207138,"Short-term and long-term effects of GDP on traffic deaths in 18 OECD countries, 1960-2011",Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1728,50,7.2576e-5,352.361,,typesafe/jev-1.13-20260917,gen-dec-1789843884-wvyWI1tdhFBywDtDbbwA,,1d16b25dcca8,2026-09-19T18:51:30+0000
71,S400-072,SCOPUS_ID:0026551460,10.2105/AJPH.82.2.191,Attitudes about infertility interventions among fertile and infertile couples,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1575,50,6.615e-5,293.016,,typesafe/jev-1.13-20260917,gen-dec-1789843885-JsPWVpb8tlLCCvSkyXW0,,1d16b25dcca8,2026-09-19T18:51:30+0000
72,S400-073,SCOPUS_ID:0029998449,10.1097/00001648-199607000-00007,The effect of maternal drinking before conception and in early pregnancy on infant birthweight,Epidemiology,"['alcohol drinking', 'birthweight', 'cohort studies', 'maternal behavior', 'pregnancy']",FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1516,50,6.3672e-5,269.639,,typesafe/jev-1.13-20260917,gen-dec-1789843885-Tt9sLWv2ckI3mgeB9GYK,,1d16b25dcca8,2026-09-19T18:51:30+0000
73,S400-074,SCOPUS_ID:0027717196,10.1136/jech.47.6.450,"Marital status, indicators of sexual activity and prostatic cancer",Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1716,50,7.2072e-5,249.49699999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843885-9RyN0Cwxb6jKOsEQWNDA,,1d16b25dcca8,2026-09-19T18:51:30+0000
74,S400-075,SCOPUS_ID:84907818355,10.2105/AJPH.2014.302131,Enhancing condom use among black male youths: A randomized controlled trial,American Journal Of Public Health,[],TRUE,,TRUE,,,,,,,TRUE,0.44,FALSE,no,0.49,0.03,1675,50,7.035e-5,266.52500000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843885-69N0J13ASoZrs6DtZdJE,,1d16b25dcca8,2026-09-19T18:51:30+0000
75,S400-076,SCOPUS_ID:0026354316,10.1093/ije/20.4.921,A method for estimating alcohol-related liver cirrhosis mortality in Japan,International Journal Of Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1621,50,6.8082e-5,309.793,,typesafe/jev-1.13-20260917,gen-dec-1789843885-kXkAXA8uFS9et9QwhhN9,,1d16b25dcca8,2026-09-19T18:51:30+0000
76,S400-077,SCOPUS_ID:0029760312,10.1093/ije/25.4.829,Relationship between morbidity and extreme values of body mass index in adolescents,International Journal Of Epidemiology,"['Adolescents', 'BMI', 'Medical conditions', 'Overweight', 'Underweight']",TRUE,,TRUE,,,,,,,TRUE,0.96,TRUE,yes,1,1,1650,50,6.93e-5,434.461,,typesafe/jev-1.13-20260917,gen-dec-1789843885-fYEtlz9KGwA9zbmEYSvo,,1d16b25dcca8,2026-09-19T18:51:30+0000
77,S400-078,SCOPUS_ID:85026463152,10.1093/eurpub/ckw234,Adherence to cancer treatment guidelines: Influence of general and cancer-specific guideline characteristics,European Journal Of Public Health,[],TRUE,,TRUE,,,,,,,TRUE,0.77,TRUE,yes,0.92,0.84,1668,50,7.0056e-5,322.67600000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843885-2qgRDGhaxiu0yZp4K1AO,,1d16b25dcca8,2026-09-19T18:51:30+0000
78,S400-079,SCOPUS_ID:0028306581,10.1093/ije/23.3.624,"Measles control in Kinshasa, Zaire improved with high coverage and use of medium titre edmonston zagreb vaccine at age 6 months",International Journal Of Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.11,FALSE,no,0.01,0.98,1818,50,7.6356e-5,347.4,,typesafe/jev-1.13-20260917,gen-dec-1789843885-Zg5O9zl5XZngqhnZbXbW,,1d16b25dcca8,2026-09-19T18:51:30+0000
79,S400-080,SCOPUS_ID:0033385724,10.1093/ije/28.6.1032,Cohort analysis of cigarette smoking and lung cancer incidence among Norwegian women,International Journal Of Epidemiology,"['Ecological study', 'Lung cancer', 'Non-smokers', 'Smoking cessation', 'Tobacco', 'Women']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1650,50,6.93e-5,388.46999999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843885-zbEaKIroGXSET3mcHlZy,,1d16b25dcca8,2026-09-19T18:51:30+0000
80,S400-081,SCOPUS_ID:85122245290,10.1007/s10654-021-00829-2,"Lifestyle risk factors and all-cause and cause-specific mortality: assessing the influence of reverse causation in a prospective cohort of 457,021 US adults",European Journal Of Epidemiology,"['Bias', 'Lifestyle risk factors', 'Mortality', 'Prospective study']",FALSE,,FALSE,,,,,,,TRUE,0.11,FALSE,no,0.04,0.93,1868,50,7.8456e-5,237.369,,typesafe/jev-1.13-20260917,gen-dec-1789843885-iMFekvQm9Vdb1IZHlr6l,,1d16b25dcca8,2026-09-19T18:51:30+0000
81,S400-082,SCOPUS_ID:85125662200,10.1016/j.ypmed.2022.107004,"Trends in risk factors and management strategies used by people with type 2 diabetes in New South Wales, Australia",Preventive Medicine,"['Nutrition', 'Obesity', 'Physical activity', 'Secondary prevention', 'Self-management behaviours', 'Type 2 diabetes']",TRUE,,TRUE,,,,,,,TRUE,0.93,TRUE,yes,1,0.99,1729,50,7.2618e-5,269.415,,typesafe/jev-1.13-20260917,gen-dec-1789843885-GsTUKSOTFT2NEmXLnkZG,,1d16b25dcca8,2026-09-19T18:51:30+0000
82,S400-083,SCOPUS_ID:66149134485,10.1097/EDE.0b013e3181931515,"Self-administered semiquantitative food frequency questionnaires: Patterns, predictors, and interpretation of omitted items",Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1718,50,7.2156e-5,241.79999999999998,,typesafe/jev-1.13-20260917,gen-dec-1789843885-FpW3aSejk92b9qKovxYM,,1d16b25dcca8,2026-09-19T18:51:30+0000
83,S400-084,SCOPUS_ID:85196041254,10.1016/j.amepre.2024.05.016,Communication Policy to Reduce Health Disparities: A Cross-Language Content Analysis of YouTube Television Advertising,American Journal Of Preventive Medicine,[],TRUE,,TRUE,,,,,,,TRUE,0.98,TRUE,yes,1,1,1828,50,7.6776e-5,282.414,,typesafe/jev-1.13-20260917,gen-dec-1789843885-7p6d0JhistrsW26njaVa,,1d16b25dcca8,2026-09-19T18:51:30+0000
84,S400-085,SCOPUS_ID:29044431976,10.1093/eurpub/cki035,Quality control of automatically defined cancer cases by the automated registration system of the Venetian Tumour Registry: Quality control of cancer cases automatically registered,European Journal Of Public Health,"['Automated registration', 'Cancer incidence', 'Quality control']",FALSE,,FALSE,,,,,,,TRUE,0.57,TRUE,yes,0.65,0.29,1637,50,6.8754e-5,235.088,,typesafe/jev-1.13-20260917,gen-dec-1789843885-o9YZHSkvTiDY5118sQUL,,1d16b25dcca8,2026-09-19T18:51:30+0000
85,S400-086,SCOPUS_ID:0031053641,10.1023/A:1007336609638,An outbreak of hepatitis A in a French day-care center and efforts to combat it,European Journal Of Epidemiology,"['Epidemic', 'Hepatitis A', 'Management of outbreak', 'Transmission']",FALSE,,FALSE,,,,,,,TRUE,0.08,FALSE,no,0.01,0.98,1557,50,6.5394e-5,366.013,,typesafe/jev-1.13-20260917,gen-dec-1789843885-CWBBCDLICYN9yVFhdn1p,,1d16b25dcca8,2026-09-19T18:51:30+0000
86,S400-087,SCOPUS_ID:84881175717,10.1093/aje/kws478,Changes in fish consumption in midlife and the risk of coronary heart disease in men and women,American Journal Of Epidemiology,"['causal inference', 'causal model', 'cohort', 'coronary artery disease', 'diet', 'intervention', 'lifestyle']",FALSE,,FALSE,,,,,,,TRUE,0.08,FALSE,no,0.01,0.99,1690,50,7.098e-5,278.974,,typesafe/jev-1.13-20260917,gen-dec-1789843885-PSSKi2AryauSodzEYkLH,,1d16b25dcca8,2026-09-19T18:51:30+0000
87,S400-088,SCOPUS_ID:85184833995,10.2105/AJPH.2023.307500,"COVID-19 Vaccination Rates Among North Dakota Residents Who Gave Birth Between April 1, 2021, and July 15, 2022",American Journal Of Public Health,[],TRUE,,TRUE,,,,,,,TRUE,0.81,TRUE,yes,0.96,0.92,1576,50,6.6192e-5,327.512,,typesafe/jev-1.13-20260917,gen-dec-1789843885-U0lqBWxN2tzwGTAm5GpY,,1d16b25dcca8,2026-09-19T18:51:30+0000
88,S400-089,SCOPUS_ID:0031021219,10.1097/00001648-199701000-00012,"Reproductive factors, oral contraceptive use, and risk of colorectal cancer",Epidemiology,"['cohort studies', 'colorectal cancer', 'menarche', 'menopause', 'oral contraceptive use', 'parity', 'reproductive factors']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1642,50,6.8964e-5,224.20499999999998,,typesafe/jev-1.13-20260917,gen-dec-1789843885-wj0XIAxOOH0uUKqobiEY,,1d16b25dcca8,2026-09-19T18:51:30+0000
89,S400-090,SCOPUS_ID:67749135506,10.1093/aje/kwp146,"The physical and mental health of australian vietnam veterans 3 decades after the war and its relation to military service, combat, and post-traumatic stress disorder",American Journal Of Epidemiology,"['Combat disorders', 'Health status', 'Psychiatry', 'Stress disorders, post-traumatic', 'Veterans', 'Vietnam']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1632,50,6.8544e-5,665.3430000000001,,typesafe/jev-1.13-20260917,gen-dec-1789843885-wWGPCRQEGQZUvC3PPXcY,,1d16b25dcca8,2026-09-19T18:51:30+0000
90,S400-091,SCOPUS_ID:0035740601,10.1023/A:1015622016579,American cutaneous leishmaniasis as a rare imported disease in Europe: A case report favourably treated with antimonial derivatives,European Journal Of Epidemiology,"['American cutaneous leishmaniasis', 'Imported disease', 'Italy', 'Meglumine antimoniate', 'Travel']",TRUE,,TRUE,"unclear if this is an empirical paper, sounds like it is just the description of a medical case study?",,,,,,TRUE,0.46,FALSE,yes,0.56,0.12,1437,50,6.0354e-5,310.112,,typesafe/jev-1.13-20260917,gen-dec-1789843885-lUdJLvETYoiqwfG68uw6,,1d16b25dcca8,2026-09-19T18:51:30+0000
91,S400-092,SCOPUS_ID:77950416585,10.1093/aje/kwp467,Dietary calcium and magnesium intake and mortality: A prospective study of men,American Journal Of Epidemiology,"['Calcium', 'Dietary supplements', 'Eating', 'Magnesium', 'Men', 'Mortality']",FALSE,,FALSE,,,,,,,TRUE,0.06,FALSE,no,0,1,1772,50,7.4424e-5,325.893,,typesafe/jev-1.13-20260917,gen-dec-1789843885-9wDxb4uh2aqLptpRAtgt,,1d16b25dcca8,2026-09-19T18:51:30+0000
92,S400-093,SCOPUS_ID:0344562873,10.1093/ije/28.4.640,Increasing inequality in ischaemic heart disease morbidity among employed men in Denmark 1981-1993: The need for a new preventive policy,International Journal Of Epidemiology,"['Bus driver', 'Cohort study', 'Hospitalization', 'Inequality', 'Ischaemic heart disease']",TRUE,,TRUE,,,,,,,TRUE,0.97,TRUE,yes,1,1,1696,50,7.1232e-5,272.08,,typesafe/jev-1.13-20260917,gen-dec-1789843885-Ffjr7FCaasJEtLPLwUEa,,1d16b25dcca8,2026-09-19T18:51:30+0000
93,S400-094,SCOPUS_ID:0032785256,10.2105/AJPH.89.8.1244,Adolescent reproductive events and subsequent breast cancer risk,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1522,50,6.3924e-5,423.414,,typesafe/jev-1.13-20260917,gen-dec-1789843885-YAkLQJ75y4ZHhjVdycv2,,1d16b25dcca8,2026-09-19T18:51:30+0000
94,S400-095,SCOPUS_ID:85193744517,10.1007/s10654-024-01131-7,Serum neurofilament light chain as a prognostic marker of all-cause mortality in a national sample of US adults,European Journal Of Epidemiology,"['Aging', 'Biomarker', 'Mortality', 'Neurodegenerative disease', 'Neurofilament light chain', 'Population', 'Prognostic markers']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1788,50,7.5096e-5,309.73499999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843885-sCyWetEmErt6McrY7j4W,,1d16b25dcca8,2026-09-19T18:51:30+0000
95,S400-096,SCOPUS_ID:0028917862,10.2105/ajph.85.1.61,What if Americans drank less? The potential effect on the prevalence of alcohol abuse and dependence,American Journal Of Public Health,[],TRUE,,FALSE,they only mention direction of future resaerch,!!!,,,FALSE,,TRUE,0.45,FALSE,no,0.32,0.36,1573,50,6.6066e-5,294.98400000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843885-OfLhrxIzjBggIOThqoQD,,1d16b25dcca8,2026-09-19T18:51:30+0000
96,S400-097,SCOPUS_ID:85047116797,10.1007/s10654-018-0410-z,Subjective social status and mortality: the English Longitudinal Study of Ageing,European Journal Of Epidemiology,"['Ageing', 'Inequalities', 'Mortality', 'Social status', 'Socioeconomic position']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1709,50,7.1778e-5,256.15,,typesafe/jev-1.13-20260917,gen-dec-1789843885-KBnYx7XSEiazcXKmyFv0,,1d16b25dcca8,2026-09-19T18:51:30+0000
97,S400-098,SCOPUS_ID:85098472022,10.1093/eurpub/ckaa094,Parental mortality following the loss of a child to a drug-related death,European Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1705,50,7.161e-5,232.513,,typesafe/jev-1.13-20260917,gen-dec-1789843885-EMpbYxg7XR1icYJN6fqq,,1d16b25dcca8,2026-09-19T18:51:30+0000
98,S400-099,SCOPUS_ID:85083852821,10.1136/jech-2019-213014,Association of big-5 personality traits with cognitive impairment and dementia: A longitudinal study,Journal Of Epidemiology And Community Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1850,50,7.77e-5,344.02700000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843885-to811rvdErWBBQDF7H52,,1d16b25dcca8,2026-09-19T18:51:30+0000
99,S400-100,SCOPUS_ID:0031886269,10.2105/AJPH.88.1.68,Two alternative job stress models and the risk of coronary heart disease,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1637,50,6.8754e-5,245.483,,typesafe/jev-1.13-20260917,gen-dec-1789843886-sqZYvimQMo1C8wxYHTN9,,1d16b25dcca8,2026-09-19T18:51:30+0000
100,S400-101,SCOPUS_ID:84935498474,10.1016/j.ypmed.2015.06.007,Perceived effectiveness of HPV test as a primary screening modality among US providers,Preventive Medicine,"['Cervical cancer', 'Health care providers', 'Human papillomavirus DNA test', 'Screening']",FALSE,,FALSE,,,,,,,TRUE,0.15,FALSE,no,0.05,0.9,1713,50,7.1946e-5,320.112,,typesafe/jev-1.13-20260917,gen-dec-1789843886-16gYoElllLnaEeeaViTg,,1d16b25dcca8,2026-09-19T18:51:30+0000
101,S400-102,SCOPUS_ID:0029980199,10.1007/BF00144423,"Prevalence of hepatitis b and c viruses infection in chronic alcoholics with or without liver disease in ioannina, greece: Low incidence of HCV infection",European Journal Of Epidemiology,"['Alcoholism', 'Hepatitis B virus', 'Hepatitis C virus', 'Heroin addiction']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1686,50,7.0812e-5,291.283,,typesafe/jev-1.13-20260917,gen-dec-1789843886-McYN35P1o3BYPaq8KH89,,1d16b25dcca8,2026-09-19T18:51:30+0000
102,S400-103,SCOPUS_ID:85096967937,10.1136/jech-2020-214259,Overview of retrospective data harmonisation in the MINDMAP project: Process and results,Journal Of Epidemiology And Community Health,"['Cohort studies', 'epidemiology', 'longitudinal studies', 'methodology']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1689,50,7.0938e-5,273.692,,typesafe/jev-1.13-20260917,gen-dec-1789843886-vMguHiE4S1xHzv8cvcEt,,1d16b25dcca8,2026-09-19T18:51:30+0000
103,S400-104,SCOPUS_ID:0041663950,10.1016/S0091-7435(03)00122-1,Social support reduces the impact of partner violence on health: Application of structural equation models,Preventive Medicine,"['Health', 'Modeling', 'Social support', 'Spouse abuse', 'Violence']",TRUE,,TRUE,,,,,,,TRUE,0.89,TRUE,yes,0.99,0.97,1766,50,7.4172e-5,417.072,,typesafe/jev-1.13-20260917,gen-dec-1789843886-F39jbeF0JVNe9nSwlbis,,1d16b25dcca8,2026-09-19T18:51:30+0000
104,S400-105,SCOPUS_ID:85167823364,10.1016/j.amepre.2023.05.004,Development of a Protocol for Objectively Measuring Digital Device Use in Youth,American Journal Of Preventive Medicine,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1767,50,7.4214e-5,276.351,,typesafe/jev-1.13-20260917,gen-dec-1789843886-Sxowt4C7ob4PeVSF8SSy,,1d16b25dcca8,2026-09-19T18:51:30+0000
105,S400-106,SCOPUS_ID:0026613837,10.1093/ije/21.1.82,"Perinatal mortality in Jeddah, Saudia Arabia",International Journal Of Epidemiology,[],TRUE,,TRUE,,,,,,,TRUE,0.95,TRUE,yes,1,1,1762,50,7.4004e-5,320.172,,typesafe/jev-1.13-20260917,gen-dec-1789843886-ZPBcw4pNYepWZk6LMnjf,,1d16b25dcca8,2026-09-19T18:51:30+0000
106,S400-107,SCOPUS_ID:84886431585,10.1093/ije/dyt168,"Skin cancer as a marker of sun exposure associates with myocardial infarction, hip fracture and death from any cause",International Journal Of Epidemiology,"['Hip fracture', 'Mortality', 'Myocardial infarction', 'Nationwide study', 'Skin cancer', 'Sun exposure']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1875,50,7.875e-5,262.715,,typesafe/jev-1.13-20260917,gen-dec-1789843886-kP8NCj2w835Zi7NOM0TY,,1d16b25dcca8,2026-09-19T18:51:30+0000
107,S400-108,SCOPUS_ID:84893865482,10.1016/j.amepre.2013.11.008,From the bench to public health: Population-level implementation intentions in colorectal cancer screening,American Journal Of Preventive Medicine,[],TRUE,,TRUE,,,,,,,TRUE,0.66,TRUE,yes,0.76,0.52,1766,50,7.4172e-5,246.358,,typesafe/jev-1.13-20260917,gen-dec-1789843886-vqhUv1WmzU3mZIoOiZMz,,1d16b25dcca8,2026-09-19T18:51:30+0000
108,S400-109,SCOPUS_ID:84885847742,10.1016/j.ypmed.2013.06.023,Joint associations of poor diet quality and prolonged television viewing time with abnormal glucose metabolism in Australian men and women,Preventive Medicine,"['Food habits', 'Glucose metabolism disorders', 'Sedentary lifestyle', 'Television']",TRUE,marginal,FALSE,They only suggest future research?,!!!,,,TRUE,,TRUE,0.67,TRUE,yes,0.87,0.73,1625,50,6.825e-5,254.70100000000002,,typesafe/jev-1.13-20260917,gen-dec-1789843886-8jJWy08ll5YkkMDEzr9U,,1d16b25dcca8,2026-09-19T18:51:30+0000
109,S400-110,SCOPUS_ID:0030470141,10.1093/ije/25.6.1227,Asthma presentations to emergency departments in western Sydney during the January 1994 bushfires,International Journal Of Epidemiology,"['Asthma', 'Emergency department', 'Epidemiology', 'Fires', 'Particulate air pollution', 'Smoke']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1741,50,7.3122e-5,296.385,,typesafe/jev-1.13-20260917,gen-dec-1789843886-8O4lR1pMKvyRl787iAAS,,1d16b25dcca8,2026-09-19T18:51:30+0000
